,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Yes,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative
10,35,1,809,1,16,3,1,1,84,4,1,2,1,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,False,0,0,1,0,0,0,1,0,0,0,0,0,0
11,29,1,153,1,15,2,4,0,49,2,2,3,0,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,False,1,0,0,0,0,0,1,0,0,0,0,0,0
12,31,1,670,1,26,1,1,1,31,3,1,3,2,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,False,1,0,0,0,0,0,0,0,0,0,1,0,0
13,34,1,1346,1,19,2,2,1,93,3,1,4,2,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,False,0,0,1,0,0,0,1,0,0,0,0,0,0
14,28,1,103,1,24,3,3,1,50,2,1,3,0,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,True,1,0,0,0,0,0,1,0,0,0,0,0,0
15,29,1,1389,1,21,4,2,0,51,4,3,1,2,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,False,1,0,0,0,0,0,0,0,1,0,0,0,0
16,32,1,334,1,5,2,1,1,80,4,1,2,2,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,False,1,0,0,0,0,0,0,0,0,0,1,0,0
17,22,0,1123,1,16,2,4,1,96,4,1,4,2,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,False,0,0,1,0,0,0,1,0,0,0,0,0,0
18,53,1,1219,0,2,4,1,0,78,2,4,4,1,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,False,1,0,0,0,0,0,0,1,0,0,0,0,0
19,38,1,371,1,2,3,4,1,45,3,1,4,0,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,False,1,0,0,0,0,0,0,0,0,0,1,0,0
20,24,0,673,1,11,2,1,0,96,4,2,3,2,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,False,0,0,0,1,0,0,0,0,1,0,0,0,0
21,36,1,1218,0,9,4,3,1,82,2,1,1,0,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,True,1,0,0,0,0,0,0,0,0,0,0,0,1
22,34,1,419,1,7,4,1,0,53,3,3,2,0,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,False,1,0,0,0,0,0,0,0,0,1,0,0,0
23,21,1,391,1,15,2,3,1,96,3,1,4,0,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,1,0,0
24,34,1,699,1,6,1,2,1,83,3,1,1,0,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,True,0,0,1,0,0,0,0,0,0,0,1,0,0
25,53,1,1282,1,5,3,3,0,58,3,5,3,2,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,False,0,0,0,1,0,0,0,1,0,0,0,0,0
26,32,2,1125,1,16,1,2,0,72,1,1,1,0,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,True,1,0,0,0,0,0,0,0,0,0,1,0,0
27,42,1,691,0,8,4,3,1,48,3,2,2,1,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,False,0,1,0,0,0,0,0,0,0,0,0,1,0
28,44,1,477,1,7,4,1,0,42,2,3,4,1,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,False,0,0,1,0,0,0,0,0,0,0,0,0,0
29,46,1,705,0,2,4,2,0,83,3,5,1,0,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,False,0,1,0,0,0,0,0,1,0,0,0,0,0
30,33,1,924,1,2,3,3,1,78,3,1,4,0,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,False,0,0,1,0,0,0,1,0,0,0,0,0,0
31,44,1,1459,1,10,4,4,1,41,3,2,4,1,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,False,0,0,0,1,0,0,0,0,0,0,0,0,0
32,30,1,125,1,9,2,4,1,83,2,1,3,0,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,False,0,0,1,0,0,0,1,0,0,0,0,0,0
33,39,1,895,0,5,3,4,1,56,3,2,4,1,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,True,0,0,0,0,1,0,0,0,0,0,0,0,1
34,24,1,813,1,1,3,2,1,61,3,1,4,1,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,True,0,0,1,0,0,0,0,0,0,0,1,0,0
35,43,1,1273,1,2,2,4,0,72,4,1,3,2,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,False,0,0,1,0,0,0,0,0,0,0,1,0,0
36,50,1,869,0,3,2,1,1,86,2,1,3,1,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,True,0,1,0,0,0,0,0,0,0,0,0,0,1
37,35,1,890,0,2,3,4,0,97,3,1,4,1,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,False,0,1,0,0,0,0,0,0,0,0,0,0,1
38,36,1,852,1,5,4,2,0,82,2,1,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,False,1,0,0,0,0,0,0,0,0,0,1,0,0
39,33,2,1141,0,1,3,3,0,42,4,2,1,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,False,1,0,0,0,0,0,0,0,0,0,0,1,0
40,35,1,464,1,4,2,3,1,75,3,1,4,2,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,False,0,0,0,1,0,0,1,0,0,0,0,0,0
41,27,1,1240,1,2,4,4,0,33,3,1,1,2,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,False,1,0,0,0,0,0,1,0,0,0,0,0,0
42,26,1,1357,1,25,3,1,1,48,1,1,3,0,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,True,1,0,0,0,0,0,1,0,0,0,0,0,0
43,27,2,994,0,8,3,4,1,37,3,3,3,0,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,False,1,0,0,0,0,0,0,0,0,0,0,1,0
44,30,2,721,1,1,2,3,0,58,3,2,4,0,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,False,0,0,1,0,0,0,1,0,0,0,0,0,0
45,41,1,1360,1,12,3,2,0,49,3,5,3,1,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,True,0,0,0,0,1,0,0,0,0,1,0,0,0
46,34,0,1065,0,23,4,2,1,72,3,2,3,0,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,False,0,1,0,0,0,0,0,0,0,0,0,1,0
47,37,1,408,1,19,2,2,1,73,3,1,2,1,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,False,1,0,0,0,0,0,0,0,0,0,1,0,0
48,46,2,1211,0,5,4,1,1,98,3,2,4,0,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,False,0,1,0,0,0,0,0,0,0,0,0,1,0
49,35,1,1229,1,8,1,4,1,36,4,1,4,1,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,False,1,0,0,0,0,0,1,0,0,0,0,0,0
50,48,1,626,1,1,2,1,1,98,2,3,3,0,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,True,1,0,0,0,0,0,1,0,0,0,0,0,0
51,28,1,1434,1,5,4,3,1,50,3,1,3,0,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,True,0,0,0,0,1,0,1,0,0,0,0,0,0
52,44,1,1488,0,1,5,2,0,75,3,2,1,2,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,False,0,1,0,0,0,0,0,0,0,0,0,1,0
53,35,0,1097,1,11,2,3,1,79,2,3,1,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,False,0,0,1,0,0,0,0,0,0,0,0,0,0
54,26,1,1443,0,23,3,3,0,47,2,2,4,1,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,False,0,1,0,0,0,0,0,0,0,0,0,1,0
55,33,2,515,1,1,2,1,0,98,3,3,4,0,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,False,1,0,0,0,0,0,0,0,0,1,0,0,0
56,35,2,853,0,18,5,2,1,71,3,3,1,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,False,1,0,0,0,0,0,0,0,0,0,0,1,0
57,35,1,1142,1,23,4,3,0,30,3,1,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,False,0,0,1,0,0,0,1,0,0,0,0,0,0
58,31,1,655,1,7,4,4,1,48,3,2,4,2,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,False,1,0,0,0,0,0,1,0,0,0,0,0,0
59,37,1,1115,1,1,4,1,1,51,2,2,3,2,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,False,1,0,0,0,0,0,0,0,1,0,0,0,0
60,32,1,427,1,1,3,1,1,33,3,2,4,1,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,False,0,0,1,0,0,0,0,0,1,0,0,0,0
61,38,2,653,1,29,5,4,0,50,3,2,4,0,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,False,1,0,0,0,0,0,1,0,0,0,0,0,0
62,50,1,989,1,7,2,2,0,43,2,5,3,2,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,False,0,0,1,0,0,0,0,0,0,1,0,0,0
63,59,1,1435,0,25,3,1,0,99,3,3,1,0,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,False,1,0,0,0,0,0,0,0,0,0,0,1,0
64,36,1,1223,1,8,3,3,0,59,3,3,3,2,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,False,0,0,0,0,1,0,0,0,0,0,0,0,0
65,55,1,836,1,8,3,4,0,33,3,4,3,2,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,False,0,0,1,0,0,0,0,1,0,0,0,0,0
66,36,2,1195,1,11,3,2,1,95,2,2,2,0,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,False,1,0,0,0,0,0,0,0,1,0,0,0,0
67,45,1,1339,1,7,3,2,1,59,3,3,1,2,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,False,1,0,0,0,0,0,0,0,0,0,1,0,0
68,35,2,664,1,1,3,2,1,79,3,1,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,False,0,0,1,0,0,0,0,0,0,0,1,0,0
69,36,1,318,1,9,3,4,1,79,2,1,3,1,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,True,0,0,1,0,0,0,0,0,0,0,1,0,0
70,59,2,1225,0,1,1,1,0,57,2,2,3,0,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,False,1,0,0,0,0,0,0,0,0,0,0,1,0
71,29,1,1328,1,2,3,3,1,76,3,1,2,1,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,False,1,0,0,0,0,0,0,0,0,0,1,0,0
72,31,1,1082,1,1,4,3,1,87,3,1,2,0,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,False,0,0,1,0,0,0,0,0,0,0,1,0,0
73,32,1,548,1,1,3,2,1,66,3,2,2,1,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,False,1,0,0,0,0,0,0,0,0,0,1,0,0
74,36,1,132,1,6,3,2,0,55,4,1,4,1,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,False,1,0,0,0,0,0,1,0,0,0,0,0,0
75,31,1,746,1,8,4,3,0,61,3,2,4,0,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,False,1,0,0,0,0,0,0,0,1,0,0,0,0
76,35,1,776,0,1,4,3,1,32,2,2,1,0,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,False,0,1,0,0,0,0,0,0,0,0,0,1,0
77,45,1,193,1,6,4,4,1,52,3,3,1,1,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,False,0,0,0,1,0,0,0,0,0,1,0,0,0
78,37,1,397,1,7,4,1,1,30,3,3,3,0,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,False,0,0,1,0,0,0,0,0,0,1,0,0,0
79,46,1,945,2,5,2,2,1,80,3,2,2,2,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,False,0,0,1,0,0,1,0,0,0,0,0,0,0
80,30,1,852,1,1,1,4,1,55,2,2,4,1,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,False,1,0,0,0,0,0,1,0,0,0,0,0,0
81,35,1,1214,1,1,3,2,1,30,2,1,3,0,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,False,0,0,1,0,0,0,0,0,0,0,1,0,0
82,55,1,111,0,1,2,1,1,70,3,3,4,1,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,False,1,0,0,0,0,0,0,0,0,0,0,1,0
83,38,0,573,1,6,3,2,0,79,1,2,4,2,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,False,0,0,1,0,0,0,0,0,0,0,1,0,0
84,34,1,1153,1,1,2,1,1,94,3,2,2,1,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,False,0,0,1,0,0,0,0,0,1,0,0,0,0
85,56,1,1400,1,7,3,4,1,49,1,3,4,0,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,False,1,0,0,0,0,0,0,0,1,0,0,0,0
86,23,1,541,0,2,1,3,1,62,3,1,1,2,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,False,0,0,0,0,1,0,0,0,0,0,0,0,1
87,51,1,432,1,9,4,4,1,96,3,1,4,1,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,False,1,0,0,0,0,0,1,0,0,0,0,0,0
88,30,1,288,1,2,3,3,1,99,2,2,4,1,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,False,1,0,0,0,0,0,0,0,0,0,0,0,0
89,46,1,669,0,9,2,3,1,64,2,3,4,0,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,True,0,0,1,0,0,0,0,0,0,0,0,1,0
90,40,2,530,1,1,4,3,1,78,2,4,2,1,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,False,1,0,0,0,0,0,0,0,0,0,0,0,0
91,51,1,632,0,21,4,3,1,71,3,2,4,0,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,False,0,1,0,0,0,0,0,0,0,0,0,1,0
92,30,1,1334,0,4,2,3,0,63,2,2,2,2,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,False,0,0,1,0,0,0,0,0,0,0,0,1,0
93,46,2,638,1,1,3,3,1,40,2,3,1,1,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,False,0,0,1,0,0,0,0,0,0,0,0,0,0
94,32,1,1093,0,6,4,2,1,87,3,2,3,0,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,False,0,0,1,0,0,0,0,0,0,0,0,1,0
95,54,1,1217,1,2,4,1,0,60,3,3,3,1,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,False,0,0,0,0,1,0,0,0,0,1,0,0,0
96,24,1,1353,0,3,2,1,0,33,3,2,3,1,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,False,0,0,0,1,0,0,0,0,0,0,0,1,0
97,28,0,120,0,4,3,2,1,43,3,2,3,1,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,False,0,0,1,0,0,0,0,0,0,0,0,1,0
98,58,1,682,0,10,4,4,1,37,3,4,3,0,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,False,0,0,1,0,0,0,0,0,0,0,0,1,0
99,44,0,489,1,23,3,2,1,67,3,2,2,1,2042,25043,4,0,12,3,3,1,17,3,4,3,2,1,2,False,0,0,1,0,0,0,1,0,0,0,0,0,0
100,37,1,807,2,6,4,3,1,63,3,1,1,2,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,True,0,0,0,0,0,1,0,0,0,0,0,0,0
101,32,1,827,1,1,1,4,1,71,3,1,1,0,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,False,1,0,0,0,0,0,0,0,0,0,1,0,0
102,20,2,871,1,6,3,4,0,66,2,1,4,0,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,True,1,0,0,0,0,0,1,0,0,0,0,0,0
103,34,1,665,1,6,4,1,0,41,3,2,3,0,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,False,0,0,0,1,0,0,0,0,0,0,1,0,0
104,37,0,1040,1,2,2,3,1,100,2,2,4,2,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,False,1,0,0,0,0,0,0,0,0,0,0,0,0
105,59,0,1420,2,2,4,3,0,32,2,5,4,1,18844,21922,9,0,21,4,4,1,30,3,3,3,2,2,2,False,0,0,0,0,0,0,0,1,0,0,0,0,0
106,50,2,1115,1,1,3,1,0,73,3,5,2,1,18172,9755,3,1,19,3,1,0,28,1,2,8,3,0,7,False,1,0,0,0,0,0,0,0,0,1,0,0,0
107,25,1,240,0,5,3,3,1,46,2,2,3,0,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,True,0,1,0,0,0,0,0,0,0,0,0,1,0
108,25,1,1280,1,7,1,4,1,64,2,1,4,1,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,False,0,0,1,0,0,0,0,0,0,0,1,0,0
109,22,1,534,1,15,3,2,0,59,3,1,4,0,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,False,0,0,1,0,0,0,1,0,0,0,0,0,0
110,51,2,1456,1,1,4,1,0,30,2,3,1,0,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8,False,0,0,1,0,0,0,0,0,0,0,0,0,0
111,34,2,658,1,7,3,1,1,66,1,2,3,0,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,True,1,0,0,0,0,0,1,0,0,0,0,0,0
112,54,0,142,2,26,3,4,0,30,4,4,4,0,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,False,0,0,0,0,0,0,0,1,0,0,0,0,0
113,24,1,1127,1,18,1,2,1,52,3,1,3,1,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,False,1,0,0,0,0,0,1,0,0,0,0,0,0
114,34,1,1031,1,6,4,3,0,45,2,2,2,2,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,False,1,0,0,0,0,0,0,0,0,0,1,0,0
115,37,1,1189,0,3,3,3,1,87,3,3,4,0,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,False,1,0,0,0,0,0,0,0,0,0,0,1,0
116,34,1,1354,1,5,3,3,0,45,2,3,1,0,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,False,0,0,1,0,0,0,0,1,0,0,0,0,0
117,36,2,1467,0,11,2,2,0,92,3,3,4,1,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,False,0,0,0,0,1,0,0,0,0,0,0,1,0
118,36,1,922,1,3,2,1,0,39,3,1,4,2,2835,2561,5,0,22,4,1,1,7,2,3,1,0,0,0,False,1,0,0,0,0,0,1,0,0,0,0,0,0
119,43,2,394,0,26,2,3,1,92,3,4,4,1,16959,19494,1,1,12,3,4,2,25,3,4,25,12,4,12,False,1,0,0,0,0,0,0,1,0,0,0,0,0
120,30,2,1312,1,23,3,1,1,96,1,1,3,2,2613,22310,1,0,25,4,3,3,10,2,2,10,7,0,9,False,1,0,0,0,0,0,0,0,0,0,1,0,0
121,33,0,750,0,22,2,3,1,95,3,2,2,1,6146,15480,0,0,13,3,1,1,8,2,4,7,7,0,7,False,0,1,0,0,0,0,0,0,0,0,0,1,0
122,56,1,441,1,14,4,2,0,72,3,1,2,1,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3,True,1,0,0,0,0,0,0,0,0,0,1,0,0
123,51,1,684,1,6,3,1,1,51,3,5,3,0,19537,6462,7,0,13,3,3,0,23,5,3,20,18,15,15,False,1,0,0,0,0,0,0,0,0,1,0,0,0
124,31,1,249,0,6,4,2,1,76,1,2,3,1,6172,20739,4,1,18,3,2,0,12,3,2,7,7,7,7,True,1,0,0,0,0,0,0,0,0,0,0,1,0
125,26,1,841,1,6,3,3,0,46,2,1,2,1,2368,23300,1,0,19,3,3,0,5,3,2,5,4,4,3,False,0,0,0,1,0,0,0,0,0,0,1,0,0
126,58,1,147,1,23,4,4,0,94,3,3,4,1,10312,3465,1,0,12,3,4,1,40,3,2,40,10,15,6,True,0,0,1,0,0,0,0,0,0,0,0,0,0
127,19,1,528,0,22,1,4,1,50,3,1,3,0,1675,26820,1,1,19,3,4,0,0,2,2,0,0,0,0,True,0,1,0,0,0,0,0,0,0,0,0,0,1
128,22,1,594,1,2,1,3,1,100,3,1,4,1,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,False,0,0,0,0,1,0,1,0,0,0,0,0,0
129,49,1,470,1,20,4,3,0,96,3,2,1,1,6567,5549,1,0,14,3,3,0,16,2,2,15,11,5,11,False,0,0,1,0,0,0,0,0,1,0,0,0,0
130,43,2,957,1,28,3,2,0,72,4,1,3,0,4739,16090,4,0,12,3,4,0,18,2,3,3,2,1,2,False,0,0,1,0,0,0,0,0,0,0,1,0,0
131,50,2,809,0,12,3,3,0,77,3,3,4,0,9208,6645,4,0,11,3,4,0,16,3,3,2,2,2,1,False,0,1,0,0,0,0,0,0,0,0,0,1,0
132,31,1,542,0,20,3,2,0,71,1,2,3,1,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2,True,1,0,0,0,0,0,0,0,0,0,0,1,0
133,41,1,802,0,9,1,3,1,96,3,3,3,2,8189,21196,3,1,13,3,3,1,12,2,3,9,7,0,7,False,1,0,0,0,0,0,0,0,0,0,0,1,0
134,26,1,1355,2,25,1,3,0,61,3,1,3,1,2942,8916,1,0,23,4,4,1,8,3,3,8,7,5,7,False,1,0,0,0,0,1,0,0,0,0,0,0,0
135,36,1,216,1,6,2,2,1,84,3,2,2,2,4941,2819,6,0,20,4,4,2,7,0,3,3,2,0,1,False,0,0,1,0,0,0,0,0,1,0,0,0,0
136,51,2,1150,1,8,4,1,1,53,1,3,4,0,10650,25150,2,0,15,3,4,0,18,2,3,4,2,0,3,True,1,0,0,0,0,0,0,0,1,0,0,0,0
137,39,1,1329,0,4,4,4,0,47,2,2,3,1,5902,14590,4,0,14,3,3,1,17,1,4,15,11,5,9,False,1,0,0,0,0,0,0,0,0,0,0,1,0
138,25,1,959,0,28,3,1,1,41,2,2,3,1,8639,24835,2,0,18,3,4,0,6,3,3,2,2,2,2,False,1,0,0,0,0,0,0,0,0,0,0,1,0
139,30,1,1240,2,9,3,3,1,48,3,2,4,1,6347,13982,0,1,19,3,4,0,12,2,1,11,9,4,7,False,0,0,0,0,0,1,0,0,0,0,0,0,0
140,32,1,1033,1,9,3,1,0,41,3,1,1,0,4200,10224,7,0,22,4,1,0,10,2,4,5,4,0,4,True,0,0,1,0,0,0,1,0,0,0,0,0,0
141,45,1,1316,1,29,3,3,1,83,3,1,4,0,3452,9752,5,0,13,3,2,0,9,2,2,6,5,0,3,False,0,0,1,0,0,0,0,0,0,0,1,0,0
142,38,1,364,1,3,5,4,0,32,3,2,3,0,4317,2302,3,1,20,4,2,0,19,2,3,3,2,2,2,False,0,0,0,0,1,0,0,0,0,0,1,0,0
143,30,1,438,1,18,3,1,0,75,3,1,3,0,2632,23910,1,0,14,3,3,0,5,4,2,5,4,0,4,False,1,0,0,0,0,0,0,0,0,0,1,0,0
144,32,2,689,0,9,2,4,1,35,1,2,4,2,4668,22812,0,0,17,3,4,3,9,2,4,8,7,0,7,False,0,0,1,0,0,0,0,0,0,0,0,1,0
145,30,1,201,1,5,3,4,0,84,3,1,1,2,3204,10415,5,0,14,3,4,1,8,3,3,3,2,2,2,False,0,0,0,0,1,0,0,0,0,0,1,0,0
146,30,1,1427,1,2,1,2,1,35,2,1,4,0,2720,11162,0,0,13,3,4,0,6,3,3,5,3,1,2,False,0,0,1,0,0,0,1,0,0,0,0,0,0
147,41,2,857,1,10,3,4,1,91,2,4,1,2,17181,12888,4,0,13,3,2,1,21,2,2,7,6,7,7,False,1,0,0,0,0,0,0,1,0,0,0,0,0
148,41,1,933,1,9,4,3,1,94,3,1,1,1,2238,6961,2,0,21,4,4,1,7,2,3,5,0,1,4,False,1,0,0,0,0,0,1,0,0,0,0,0,0
